f0,Identifier:remoteCandidateId
f618,Property:toLocaleString
f619,ArrayExpression:negative
f620,MemberExpression:lengthComputable
f621,FunctionDeclaration:enabled
f622,VariableDeclarator:startup
f623,AssignmentExpression:country
f624,IfStatement:Transition
f625,FunctionExpression:pixels
f626,SwitchCase:initialize
f627,MemberExpression:heading
f628,NewExpression:onclick
f629,AssignmentExpression:onplay
f630,SwitchCase:img
f631,AssignmentExpression:changeType
f632,Identifier:rangeMin
f633,CallExpression:removeTrack
f634,ArrayExpression:EXT_disjoint_timer_query_webgl2
f635,BinaryExpression:FormData
f636,FunctionDeclaration:onloadeddata
f637,AssignmentExpression:flatten
f638,UnaryExpression:lastState
f639,CallExpression:updateDisplay
f640,LogicalExpression:Float32Array
f641,FunctionDeclaration:deleteData
f642,FunctionExpression:has
f643,Literal:paint
f644,MemberExpression:Bluetooth
f645,FunctionExpression:rx
f646,SwitchStatement:align
f647,Literal:long
f648,ArrayExpression:tcp
f649,VariableDeclarator:ERROR
f650,ConditionalExpression:vtt
f651,Literal:touchend
f652,ExpressionStatement:Position
f653,ArrayExpression:window
f654,FunctionDeclaration:configuration
f655,SwitchStatement:resultType
f656,Property:iso
f657,BinaryExpression:mozRequestFullScreen
f658,MemberExpression:LongRange
f659,IfStatement:FormData
f660,NewExpression:Attr
f661,CallExpression:state
f662,ArrayExpression:nntp
f663,BinaryExpression:init
f664,UnaryExpression:PresentationConnectionAvailableEvent
f665,Property:offsetHeight
f666,BinaryExpression:gl_FragDepthEXT
f667,Property:sdpMid
f668,CallExpression:TrackEvent
f669,VariableDeclarator:moz
f670,ThrowStatement:false
f671,VariableDeclarator:over
f672,Property:externalResourcesRequired
f673,AssignmentExpression:frameBorder
f674,FunctionExpression:gap
f675,ArrayExpression:deviceName
f676,CallExpression:btoa
f677,UpdateExpression:timestamp
f678,Identifier:Notification
f679,SwitchStatement:count
f680,AssignmentExpression:marginHeight
f681,Literal:isSecureContext
f682,Property:iterateNext
f683,VariableDeclarator:beginQuery
f684,Property:onsearch
f685,FunctionDeclaration:password
f686,CallExpression:getActiveUniformBlockParameter
f687,VariableDeclarator:databases
f688,AssignmentExpression:resize
f689,NewExpression:hint
f690,Property:writeln
f691,UnaryExpression:tabs
f692,MemberExpression:methodDetails
f693,NewExpression:disposition
f694,VariableDeclarator:compatMode
f695,SwitchStatement:on
f696,Property:SVGFEFuncRElement
f697,BinaryExpression:all
f698,Property:port1
f699,Literal:seekable
f700,ArrayExpression:yChannelSelector
f701,BinaryExpression:timing
f702,Literal:uri
f703,ArrayExpression:transitionName
f704,Literal:createRadialGradient
f705,MemberExpression:HTMLVideoElement
f706,Identifier:createSVGPathSegArcAbs
f707,Identifier:activeCues
f708,AssignmentExpression:hardwareConcurrency
f709,FunctionDeclaration:upload
f710,CallExpression:nofullscreen
f711,SwitchCase:mousedown
f712,Literal:function
f713,FunctionDeclaration:collapsed
f714,AssignmentExpression:variable
f715,Literal:Worker
f716,ArrayExpression:offsetWidth
f717,SequenceExpression:push
f718,ArrayExpression:idl
f719,Property:EventSource
f720,LogicalExpression:Web
f721,UpdateExpression:matches
f722,Property:RENDERBUFFER
f723,VariableDeclarator:png
f724,CallExpression:mozFullScreenElement
f725,FunctionDeclaration:readystatechange
f726,VariableDeclarator:deviceClass
f727,FunctionDeclaration:nodes
f728,Property:DOMTokenList
f729,LogicalExpression:NaN
f730,Identifier:mouseover
f731,Identifier:background
f732,IfStatement:displayName
f733,ConditionalExpression:children
f734,FunctionExpression:fractalNoise
f735,FunctionDeclaration:TextTrack
f736,SwitchCase:shape
f737,MemberExpression:check
f738,MemberExpression:UNSENT
f739,FunctionExpression:td
f740,Property:stitch
f741,VariableDeclarator:formTarget
f742,CallExpression:trackid
f743,FunctionDeclaration:unsubscribe
f744,IfStatement:click
f745,Identifier:variable
f746,BinaryExpression:rtx
f747,CallExpression:firesTouchEvents
f748,Literal:getCTM
f749,Identifier:replaceChild
f750,MemberExpression:never
f751,Literal:onloading
f752,SwitchCase:minValue
f753,Property:nodownload
f754,FunctionExpression:loadOverlay
f755,NewExpression:numOctaves
f756,MethodDefinition:getEntries
f757,SwitchCase:toJSON
f758,FunctionExpression:Comment
f759,UnaryExpression:WebSocket
f760,Identifier:onaddtrack
f761,FunctionDeclaration:Promise
f762,BinaryExpression:rangeCount
f763,IfStatement:modify
f764,SequenceExpression:transitionName
f765,AssignmentExpression:progress
f766,MemberExpression:ignoreBOM
f767,UnaryExpression:XMLDocument
f768,UnaryExpression:other
f769,MemberExpression:ondataavailable
f770,Identifier:uniform1ui
f771,MemberExpression:textContent
f772,VariableDeclarator:loadstart
f773,FunctionDeclaration:currentDirection
f774,CallExpression:recording
f775,Literal:shadowRoot
f776,ArrayExpression:streams
f777,ArrayExpression:in
f778,ArrayExpression:add
f779,MemberExpression:vertexAttribDivisorANGLE
f780,ArrayExpression:displayName
f781,Identifier:diners
f782,ReturnStatement:tabs
f783,Property:nominated
f784,Property:addIceCandidate
f785,UnaryExpression:rotation
f786,SwitchStatement:select
f787,SwitchCase:cookie
f788,Property:reduction
f789,ArrayExpression:webkitresourcetimingbufferfull
f790,Literal:webkitmouseforcedown
f791,Property:other
f792,Identifier:setEndBefore
f793,ConditionalExpression:onblur
f794,FunctionExpression:endpoint
f795,Property:loadedmetadata
f796,Property:reversed
f797,LogicalExpression:source
f798,ReturnStatement:kind
f799,Property:clientWaitSync
f800,MemberExpression:list
f801,VariableDeclarator:ms
f802,MemberExpression:frameBorder
f803,ReturnStatement:supported
f804,SwitchCase:oncontextmenu
f805,ConditionalExpression:lighten
f806,SwitchCase:pointerover
f807,ArrayExpression:go
f808,Literal:define
f809,AssignmentExpression:sampleSize
f810,ArrayExpression:HTMLTableCaptionElement
f811,AssignmentExpression:bind
f812,ArrayExpression:setSelectionRange
f813,FunctionDeclaration:expirationTime
f814,ArrayExpression:selectNode
f815,BinaryExpression:startTime
f816,ReturnStatement:assertion
f817,FunctionExpression:extend
f818,LogicalExpression:wrap
f819,Identifier:nextHopProtocol
f820,LogicalExpression:navigate
f821,AssignmentExpression:ii
f822,NewExpression:px
f823,MemberExpression:tabs
f824,VariableDeclarator:resizeTo
f825,BinaryExpression:InputEvent
f826,AssignmentExpression:TYPE_NAVIGATE
f827,Property:passive
f828,FunctionExpression:tooltip
f829,MemberExpression:initKeyEvent
f830,Property:texParameterf
f831,ConditionalExpression:torch
f832,MemberExpression:handleEvent
f833,Literal:postMessage
f834,CallExpression:drawingBufferWidth
f835,ReturnStatement:hint
f836,SequenceExpression:slot
f837,BinaryExpression:dragstart
f838,Literal:getParent
f839,VariableDeclarator:canplaythrough
f840,SequenceExpression:compact
f841,ThrowStatement:response
f842,Identifier:navigator
f843,FunctionDeclaration:isEnabled
f844,SwitchStatement:entryType
f845,IfStatement:elements
f846,ArrayExpression:magnetometer
f847,Property:PushManager
f848,IfStatement:play
f849,UnaryExpression:PushManager
f850,ArrayExpression:enqueue
f851,MemberExpression:requestsSent
f852,Identifier:smooth
f853,Identifier:SVGPathSegList
f854,MemberExpression:screenX
f855,Literal:XSLTProcessor
f856,Identifier:installed
f857,ReturnStatement:Netscape
f858,AssignmentExpression:mediaGroup
f859,Literal:DataTransfer
f860,FunctionExpression:eachNode
f861,Property:queryCommandSupported
f862,NewExpression:RTCIceCandidate
f863,BinaryExpression:explicit
f864,Literal:HTMLObjectElement
f865,MemberExpression:TimeRanges
f866,MemberExpression:alt
f867,UnaryExpression:translate
f868,ArrowFunctionExpression:tracker
f869,UpdateExpression:m12
f870,MemberExpression:time
f871,ArrayExpression:className
f872,SwitchCase:wrap
f873,AssignmentExpression:pageLeft
f874,FunctionDeclaration:frame
f875,AssignmentExpression:Notation
f876,ReturnStatement:setCurrentTime
f877,FunctionDeclaration:credit
f878,Identifier:deleteMedium
f879,ArrayExpression:CSSRuleList
f880,ArrayExpression:responseEnd
f881,UpdateExpression:started
f882,FunctionDeclaration:updatePosition
f883,Identifier:flipX
f884,VariableDeclarator:texImage3D
f885,CallExpression:view
f886,ArrayExpression:contentEditable
f887,Property:parameterNames
f888,Property:createEvent
f889,Identifier:pc
f890,Identifier:SVGPatternElement
f891,Property:handleAddressChange
f892,MemberExpression:RGBA16F_EXT
f893,Property:stencilMaskSeparate
f894,AssignmentExpression:hand
f895,Identifier:viewportAnchorX
f896,ConditionalExpression:file
f897,Literal:SVGCursorElement
f898,Property:SVGICCColor
f899,SequenceExpression:CustomEvent
f900,Identifier:finish
f901,Identifier:backward
f902,Identifier:SVGPointList
f903,ReturnStatement:pinchZoom
f904,CallExpression:propertyName
f905,MemberExpression:matchAll
f906,CallExpression:OES_element_index_uint
f907,VariableDeclarator:webgl2
f908,MemberExpression:persist
f909,Property:positionY
f910,Property:caption
f911,SwitchCase:low
f912,Property:xmlhttprequest
f913,Identifier:consentRequestsSent
f914,Identifier:onshippingaddresschange
f915,BinaryExpression:outputBuffer
f916,Identifier:onstorage
f917,MethodDefinition:fetch
f918,BinaryExpression:Touch
f919,MethodDefinition:show
f920,Identifier:oldValue
f921,ArrayExpression:SVGElement
f922,ArrayExpression:iterator
f923,ForInStatement:col
f924,VariableDeclarator:timestampOffset
f925,Property:EventListener
f926,CallExpression:rate
f927,FunctionExpression:css
f928,BinaryExpression:renderWidth
f929,AssignmentExpression:elevation
f930,MemberExpression:createElement
f931,ArrayExpression:keygen
f932,Identifier:viewportAnchorY
f933,AssignmentExpression:TimeRanges
